200,30,false,
148,40,true,
1277,566,false,
811,441,false,
1322,457,true,
587,457,false,
67,66,true,
903,124,false,
137,93,true,
1299,873,false,
513,366,true,
466,347,true,
927,709,true,
431,80,true,
419,353,false,
697,619,false,
161,110,true,
212,138,false,
1314,1193,true,
1173,495,false,
1611,881,false,
1805,1768,true,
1015,761,false,
61,2,true,
1083,723,false,
797,464,false,
1852,1262,true,
1561,1059,true,
1253,675,true,
299,10,false,
701,320,true,
401,45,false,
936,540,true,
30,6,false,
1874,199,true,
284,249,false,
793,726,true,
689,23,true,
1935,1549,false,
467,369,true,
1931,1150,false,
859,549,true,
1194,874,true,
1181,107,false,
1409,1039,true,
1636,1048,false,
1814,838,false,
461,310,true,
1044,1017,false,
1405,339,false,
489,103,true,
706,23,true,
959,332,true,
28,21,true,
169,59,false,
513,224,false,
1628,828,true,
1140,795,true,
137,81,true,
586,455,true,
1479,30,true,
